,step,Opt_val,Eval_val,Loss_val,Violations,A_norm,Test_val,Violation_val,Violation_train,mu,lam,alpha,alphagrad,dfnorm,gradnorm
0,0,-34595.2091943112,-34524.419550052065,-34524.55059476945,0.0006349206669256091,11.009270090269405,-34595.2091943112,0.2844713825466867,0.2832448151765687,10.1,106.83244815176569,-0.05000000074505806,tensor(7642.8252),2195.168033564119,"tensor([[  2.1982,   3.1031,   6.0370,   8.3439],
        [ -2.0681,  -3.7030,  -7.3652, -11.2251],
        [  6.9549,   9.9180,  18.8034,  26.2224],
        [  9.7592,  14.0515,  27.0665,  36.1878]], dtype=torch.float64)"
1,1,-34599.1288886624,-34524.0323996354,-34524.16851785536,0.0006349206669256091,11.009307128314614,-34599.1288886624,0.2810140533877221,0.27981693237282657,10.201,113.69859916873123,-0.04939461871981621,tensor(7642.8252),2268.769942625719,"tensor([[  2.1982,   3.1031,   6.0370,   8.3439],
        [ -2.0681,  -3.7030,  -7.3652, -11.2251],
        [  6.9549,   9.9180,  18.8034,  26.2224],
        [  9.7592,  14.0515,  27.0665,  36.1878]], dtype=torch.float64)"
2,2,-34606.07073701627,-34527.089220129594,-34527.22679183069,0.0006349206669256091,11.009376124019534,-34606.07073701627,0.27426228848352757,0.2731212862378914,10.30301,120.56510940964397,-0.04826601967215538,tensor(7642.8252),2388.5018480442313,"tensor([[  2.1982,   3.1031,   6.0370,   8.3439],
        [ -2.0681,  -3.7030,  -7.3652, -11.2251],
        [  6.9549,   9.9180,  18.8034,  26.2224],
        [  9.7592,  14.0515,  27.0665,  36.1878]], dtype=torch.float64)"
3,3,-34615.25513149528,-34532.76033850059,-34532.89587407593,0.0006349206669256091,11.009474330554339,-34615.25513149528,0.2653207560750333,0.2642570180906858,10.4060401,127.40895610960249,-0.046679940074682236,tensor(7642.8252),2418.7580803422893,"tensor([[  2.1982,   3.1031,   6.0370,   8.3439],
        [ -2.0681,  -3.7030,  -7.3652, -11.2251],
        [  6.9549,   9.9180,  18.8034,  26.2224],
        [  9.7592,  14.0515,  27.0665,  36.1878]], dtype=torch.float64)"
4,4,-34625.848373317225,-34540.29271470358,-34540.42205058863,0.0006349206669256091,11.009598936321371,-34625.848373317225,0.2540356561164231,0.2530719722130832,10.510100501,134.2048492406379,-0.04468909278512001,tensor(7642.8252),2345.06539607679,"tensor([[  2.1982,   3.1031,   6.0370,   8.3439],
        [ -2.0681,  -3.7030,  -7.3652, -11.2251],
        [  6.9549,   9.9180,  18.8034,  26.2224],
        [  9.7592,  14.0515,  27.0665,  36.1878]], dtype=torch.float64)"
5,5,-34637.055053763404,-34548.916070131665,-34549.03691142895,0.0006349206669256091,11.009746338138097,-34637.055053763404,0.24067698449833258,0.2398195522008057,10.615201506010001,140.9294170367732,-0.04233592003583908,tensor(7642.8252),2257.1702235625467,"tensor([[  2.1982,   3.1031,   6.0370,   8.3439],
        [ -2.0681,  -3.7030,  -7.3652, -11.2251],
        [  6.9549,   9.9180,  18.8034,  26.2224],
        [  9.7592,  14.0515,  27.0665,  36.1878]], dtype=torch.float64)"
6,6,-34648.31401607294,-34558.10052018122,-34558.20841760666,0.0,11.009913454862852,-34648.31401607294,0.2254020418818089,0.22467085268744552,10.721353521070101,147.5604240129815,-0.03965478390455246,tensor(7642.8252),2290.105397070574,"tensor([[  2.1982,   3.1031,   6.0370,   8.3439],
        [ -2.0681,  -3.7030,  -7.3652, -11.2251],
        [  6.9549,   9.9180,  18.8034,  26.2224],
        [  9.7592,  14.0515,  27.0665,  36.1878]], dtype=torch.float64)"
7,7,-34659.417801574375,-34567.678680312325,-34567.769790854305,0.0,11.010099642219078,-34659.417801574375,0.20826436406939777,0.20767303925388186,10.828567056280802,154.07550149204548,-0.03667370229959488,tensor(7642.8252),2376.225858612781,"tensor([[  2.1982,   3.1031,   6.0370,   8.3439],
        [ -2.0681,  -3.7030,  -7.3652, -11.2251],
        [  6.9549,   9.9180,  18.8034,  26.2224],
        [  9.7592,  14.0515,  27.0665,  36.1878]], dtype=torch.float64)"
8,8,-34670.29924936391,-34577.546615402134,-34577.61845910366,0.0,11.01030545859405,-34670.29924936391,0.1897717541011314,0.18932401670226767,10.93685272684361,160.45703612478272,-0.033415742218494415,tensor(7642.8252),2335.282718831421,"tensor([[  2.1982,   3.1031,   6.0370,   8.3439],
        [ -2.0681,  -3.7030,  -7.3652, -11.2251],
        [  6.9549,   9.9180,  18.8034,  26.2224],
        [  9.7592,  14.0515,  27.0665,  36.1878]], dtype=torch.float64)"
9,9,-34680.785952476734,-34587.60104343172,-34587.64973837931,0.0,11.010529108490461,-34680.785952476734,0.16968627732741343,0.16939414155317817,11.046221254112046,166.68441599447738,-0.029900118708610535,tensor(7642.8252),2394.0454091057113,"tensor([[  2.1982,   3.1031,   6.0370,   8.3439],
        [ -2.0681,  -3.7030,  -7.3652, -11.2251],
        [  6.9549,   9.9180,  18.8034,  26.2224],
        [  9.7592,  14.0515,  27.0665,  36.1878]], dtype=torch.float64)"
10,10,-34690.89083951862,-34597.83937511616,-34597.89571048827,0.0,11.010770856252861,-34690.89083951862,0.14828824508809912,0.14796211531754597,11.156683466653167,172.73732675914624,-0.026143072172999382,tensor(7642.8252),2332.744744117984,"tensor([[  2.1982,   3.1031,   6.0370,   8.3439],
        [ -2.0681,  -3.7030,  -7.3652, -11.2251],
        [  6.9549,   9.9180,  18.8034,  26.2224],
        [  9.7592,  14.0515,  27.0665,  36.1878]], dtype=torch.float64)"
