,step,Opt_val,Eval_val,Loss_val,Violations,A_norm,Violation_val,Violation_train,Test_val,Eps_vals,mu,lam,alpha,alphagrad,dfnorm,gradnorm
0,0,-32.32465555999789,-31.299655559997895,-31.299655559997895,0.0,1.0,0.0,0.0,-32.32465555999789,1.0,5.05,10.5,0.0,tensor(-6.2327),133.50575591983124,"tensor(-64.9342, dtype=torch.float64)"
1,1,-32.68760673746053,-31.61351223461323,-31.61351223461323,0.0,0.9986667224430825,-0.0001049999991664663,-0.0001049999991664663,-32.68760673746053,0.9986667224430825,5.1005,11.00446975000421,-0.0001049999991664663,tensor(-6.2327),127.08611665623175,"tensor(-64.9342, dtype=torch.float64)"
2,2,-33.32113873449251,-32.19863238764979,-32.19863238764979,0.0,0.9963394838343247,-0.00029904471011832356,-0.00029904471011832356,-33.32113873449251,0.9963394838343247,5.151505,11.512994472460251,-0.00029904471011832356,tensor(-6.2327),130.0141950715879,"tensor(-64.9342, dtype=torch.float64)"
3,3,-34.17542843703539,-33.005219580368994,-33.005219580368994,0.0,0.9932013061451266,-0.0005694103892892599,-0.0005694103892892599,-34.17542843703539,0.9932013061451266,5.20302005,12.025211651992775,-0.0005694103892892599,tensor(-6.2327),128.70490495878312,"tensor(-64.9342, dtype=torch.float64)"
4,4,-35.19844087831764,-33.981268149670264,-33.981268149670264,0.0,0.9894433364432828,-0.0009059550939127803,-0.0009059550939127803,-35.19844087831764,0.9894433364432828,5.2550502505,12.540799954474748,-0.0009059550939127803,tensor(-6.2327),124.87115563281168,"tensor(-64.9342, dtype=torch.float64)"
5,5,-36.34167225508848,-35.07830658493019,-35.07830658493019,0.0,0.9852437502968253,-0.0013005988439545035,-0.0013005988439545035,-36.34167225508848,0.9852437502968253,5.3076007530050004,13.059470267244025,-0.0013005988439545035,tensor(-6.2327),127.36255377383895,"tensor(-64.9342, dtype=torch.float64)"
6,6,-37.5831577270511,-36.27440548727998,-36.27440548727998,0.0,0.9806832341186443,-0.0017469085287302732,-0.0017469085287302732,-37.5831577270511,0.9806832341186443,5.360676760535051,13.580958449522006,-0.0017469085287302732,tensor(-6.2327),120.45412453099834,"tensor(-64.9342, dtype=torch.float64)"
7,7,-38.88077099643432,-37.52747715439365,-37.52747715439365,0.0,0.9759165361253034,-0.0022397658322006464,-0.0022397658322006464,-38.88077099643432,0.9759165361253034,5.414283528140401,14.105019464929793,-0.0022397658322006464,tensor(-6.2327),123.5879137906104,"tensor(-64.9342, dtype=torch.float64)"
8,8,-40.227382373354786,-38.830433546502306,-38.830433546502306,0.0,0.9709698467690883,-0.00277510192245245,-0.00277510192245245,-40.227382373354786,0.9709698467690883,5.468426363421805,14.631422629116187,-0.00277510192245245,tensor(-6.2327),117.73554874497313,"tensor(-64.9342, dtype=torch.float64)"
9,9,-41.59427239840145,-40.154599733891196,-40.154599733891196,0.0,0.9659486651171134,-0.0033496851101517677,-0.0033496851101517677,-41.59427239840145,0.9659486651171134,5.523110627056023,15.159947759092852,-0.0033496851101517677,tensor(-6.2327),117.26429690943769,"tensor(-64.9342, dtype=torch.float64)"
10,10,-42.972718157208504,-41.49129999267935,-41.49129999267935,0.0,0.9608850342283805,-0.00396095123142004,-0.00396095123142004,-42.972718157208504,0.9608850342283805,5.5783417333265835,15.690382049958947,-0.00396095123142004,tensor(-6.2327),114.19525466310552,"tensor(-64.9342, dtype=torch.float64)"
11,11,-44.3494340043801,-42.827298277594636,-42.827298277594636,0.0,0.9558277580576221,-0.004606867674738169,-0.004606867674738169,-44.3494340043801,0.9558277580576221,5.634125150659849,16.2225175410817,-0.004606867674738169,tensor(-6.2327),111.62025719864869,"tensor(-64.9342, dtype=torch.float64)"
