,step,Opt_val,Eval_val,Loss_val,Violations,A_norm,Violation_val,Violation_train,Test_val,Eps_vals,mu,lam,alpha,alphagrad,dfnorm,gradnorm
0,0,-34595.2091943112,-34524.419550052065,-34524.55059476945,0.0006349206669256091,1.0,0.2844713825466867,0.2832448151765687,-34595.2091943112,1.0,10.1,106.83244815176569,-0.05000000074505806,tensor(5354.9434),1110.2327130916528,"tensor(434.2741, dtype=torch.float64)"
1,1,-34603.15440312438,-34531.56481760888,-34531.69982360344,0.0006349206669256091,0.989019581072056,0.2501311173553884,0.2489405122909047,-34603.15440312438,0.989019581072056,10.201,113.38674732590383,-0.04394616186618805,tensor(5354.9434),1228.2849346099092,"tensor(434.2741, dtype=torch.float64)"
2,2,-34617.827154160856,-34549.60608700841,-34549.73999249495,0.0006349206669256091,0.9687415784983462,0.1862089477494417,0.18508709429209452,-34617.827154160856,0.9687415784983462,10.30301,119.35522077477748,-0.03267785161733627,tensor(5354.9434),1249.9955761769597,"tensor(434.2741, dtype=torch.float64)"
3,3,-34637.258762092664,-34576.70568264545,-34576.83122998329,0.0012698413338512182,0.9418867526770152,0.09668721136592111,0.09567853487774441,-34637.258762092664,0.9418867526770152,10.4060401,124.46220167640823,-0.016899731010198593,tensor(5354.9434),1239.8374465702711,"tensor(434.2741, dtype=torch.float64)"
4,4,-34659.57636068972,-34608.49388551,-34608.60194352388,0.0012698413338512182,0.9110434267754417,0.0036155016198101343,0.002775615081191063,-34659.57636068972,0.9110434267754417,10.510100501,128.65350087824527,0.002775615081191063,tensor(5354.9434),581.3774828434764,"tensor(434.2741, dtype=torch.float64)"
5,5,-34679.70351953542,-34625.00763351574,-34625.11070029429,0.0012698413338512182,0.8832273660816667,0.018004047235358266,0.017229357734322548,-34679.70351953542,0.8832273660816667,10.615201506010001,133.03862336000068,0.017229357734322548,tensor(5354.9434),551.3726080726146,"tensor(434.2741, dtype=torch.float64)"
6,6,-34697.89300370359,-34639.9457659453,-34640.054226915556,0.0012698413338512182,0.8580891747943049,0.02825031071041098,0.027461964637041092,-34697.89300370359,0.8580891747943049,10.721353521070101,137.5762182507778,0.027461964637041092,tensor(5354.9434),532.6644951230454,"tensor(434.2741, dtype=torch.float64)"
7,7,-34714.4165945254,-34653.53773070046,-34653.66007173518,0.0012698413338512182,0.8352532412090895,0.035132409182884364,0.03427228704094887,-34714.4165945254,0.8352532412090895,10.828567056280802,142.23220496454744,0.03427228704094887,tensor(5354.9434),512.93370886233,"tensor(434.2741, dtype=torch.float64)"
8,8,-34729.48760611055,-34665.96406359913,-34666.10736974117,0.0012698413338512182,0.8144248720325208,0.0392732034847591,0.03829822316765785,-34729.48760611055,0.8144248720325208,10.93685272684361,146.97834666476714,0.03829822316765785,tensor(5354.9434),492.38750737768214,"tensor(434.2741, dtype=torch.float64)"
9,9,-34743.276512063116,-34677.36771172196,-34677.53054108609,0.0012698413338512182,0.7953683243487637,0.041183419612377925,0.04011074572004577,-34743.276512063116,0.7953683243487637,11.046221254112046,151.7917730742086,0.04004918783903122,tensor(5354.9434),469.53208014323616,"tensor(434.2741, dtype=torch.float64)"
