,steps,Opt_val,Eval_val,Loss_val,Rnorm
0,99,1.0050645761311068,1.0050645761311068,1.0050645761311068,0.1
1,99,0.2975375431307545,0.2975375431307545,0.2975375431307545,0.35789473684210527
2,99,0.19357989128820954,0.19357989128820954,0.19357989128820954,0.6157894736842106
3,99,0.15870507506058304,0.15870507506058304,0.15870507506058304,0.8736842105263158
4,99,0.14567924172248703,0.14567924172248703,0.14567924172248703,1.1315789473684212
5,99,0.14233595200200144,0.14233595200200144,0.14233595200200144,1.3894736842105266
6,99,0.1441272583360902,0.1441272583360902,0.1441272583360902,1.6473684210526318
7,99,0.14896754000974974,0.14896754000974974,0.14896754000974974,1.905263157894737
8,99,0.15576568870571958,0.15576568870571958,0.15576568870571958,2.1631578947368424
9,99,0.16389543033291473,0.16389543033291473,0.16389543033291473,2.421052631578948
10,99,0.17297157317300907,0.17297157317300907,0.17297157317300907,2.678947368421053
11,99,0.18274416334245958,0.18274416334245958,0.18274416334245958,2.936842105263158
12,99,0.19304389554995902,0.19304389554995902,0.19304389554995902,3.1947368421052635
13,99,0.2037519944017393,0.2037519944017393,0.2037519944017393,3.452631578947369
14,99,0.21478265089976156,0.21478265089976156,0.21478265089976156,3.710526315789474
15,99,0.22607230931210204,0.22607230931210204,0.22607230931210204,3.9684210526315793
16,99,0.2375728799265911,0.2375728799265911,0.2375728799265911,4.226315789473684
17,99,0.24924728480551273,0.24924728480551273,0.24924728480551273,4.484210526315789
18,99,0.2610664651181711,0.2610664651181711,0.2610664651181711,4.742105263157895
19,99,0.27300731088317304,0.27300731088317304,0.27300731088317304,5.0
